"","date_full","day","hour","sonde","value","variety","culture","rep"
"56","08.11.2022 09:00","08.11.2022","09:00:00","T_1",13.345522,"OUT","OUT","OUT"
"57","08.11.2022 09:15","08.11.2022","09:15:00","T_1",13.145642,"OUT","OUT","OUT"
"58","08.11.2022 09:30","08.11.2022","09:30:00","T_1",12.885798,"OUT","OUT","OUT"
"59","08.11.2022 09:45","08.11.2022","09:45:00","T_1",12.625954,"OUT","OUT","OUT"
"60","08.11.2022 10:00","08.11.2022","10:00:00","T_1",12.506026,"OUT","OUT","OUT"
"61","08.11.2022 10:15","08.11.2022","10:15:00","T_1",12.376104,"OUT","OUT","OUT"
"62","08.11.2022 10:30","08.11.2022","10:30:00","T_1",12.406086,"OUT","OUT","OUT"
"63","08.11.2022 10:45","08.11.2022","10:45:00","T_1",12.755876,"OUT","OUT","OUT"
"64","08.11.2022 11:00","08.11.2022","11:00:00","T_1",13.025714,"OUT","OUT","OUT"
"65","08.11.2022 11:15","08.11.2022","11:15:00","T_1",12.985738,"OUT","OUT","OUT"
"66","08.11.2022 11:30","08.11.2022","11:30:00","T_1",13.005726,"OUT","OUT","OUT"
"67","08.11.2022 11:45","08.11.2022","11:45:00","T_1",12.026314,"OUT","OUT","OUT"
"68","08.11.2022 12:00","08.11.2022","12:00:00","T_1",10.537208,"OUT","OUT","OUT"
"69","08.11.2022 12:15","08.11.2022","12:15:00","T_1",10.397292,"OUT","OUT","OUT"
"70","08.11.2022 12:30","08.11.2022","12:30:00","T_1",11.806446,"OUT","OUT","OUT"
"71","08.11.2022 12:45","08.11.2022","12:45:00","T_1",12.76587,"OUT","OUT","OUT"
"72","08.11.2022 13:00","08.11.2022","13:00:00","T_1",12.86581,"OUT","OUT","OUT"
"73","08.11.2022 13:15","08.11.2022","13:15:00","T_1",11.676524,"OUT","OUT","OUT"
"74","08.11.2022 13:30","08.11.2022","13:30:00","T_1",12.41608,"OUT","OUT","OUT"
"75","08.11.2022 13:45","08.11.2022","13:45:00","T_1",12.41608,"OUT","OUT","OUT"
"76","08.11.2022 14:00","08.11.2022","14:00:00","T_1",13.225594,"OUT","OUT","OUT"
"77","08.11.2022 14:15","08.11.2022","14:15:00","T_1",13.175624,"OUT","OUT","OUT"
"78","08.11.2022 14:30","08.11.2022","14:30:00","T_1",12.975744,"OUT","OUT","OUT"
"79","08.11.2022 14:45","08.11.2022","14:45:00","T_1",13.485438,"OUT","OUT","OUT"
"80","08.11.2022 15:00","08.11.2022","15:00:00","T_1",13.235588,"OUT","OUT","OUT"
"81","08.11.2022 15:15","08.11.2022","15:15:00","T_1",12.486038,"OUT","OUT","OUT"
"82","08.11.2022 15:30","08.11.2022","15:30:00","T_1",11.156836,"OUT","OUT","OUT"
"83","08.11.2022 15:45","08.11.2022","15:45:00","T_1",10.607166,"OUT","OUT","OUT"
"84","08.11.2022 16:00","08.11.2022","16:00:00","T_1",11.036908,"OUT","OUT","OUT"
"85","08.11.2022 16:15","08.11.2022","16:15:00","T_1",11.56659,"OUT","OUT","OUT"
"86","08.11.2022 16:30","08.11.2022","16:30:00","T_1",11.526614,"OUT","OUT","OUT"
"87","08.11.2022 16:45","08.11.2022","16:45:00","T_1",10.377304,"OUT","OUT","OUT"
