date;experiment_type;Sampling_campain;variety;culture;bloc;sample_type;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);total 
05.04.2022;glasshouse;GH_BF;Ma;As;1;feuille;230109_IH_GLS_sample_1-22;8.822115385;26.51442308;45.09615385;3.173076923;30.21634615;2.259615385;38.70192308;59.71153846;23.07692308;5.793269231;2.5;27.04326923;272.9086538
05.04.2022;glasshouse;GH_BF;An;As;2;feuille;230109_IH_GLS_sample_1-23;1.546218487;13.1092437;4.504201681;2.453781513;3.226890756;1.008403361;8.43697479;35.73109244;6.823529412;3.361344538;1.042016807;11.12605042;92.3697479
05.04.2022;glasshouse;GH_BF;An;As;2;feuille;230109_IH_GLS_sample_1-24;6.301369863;23.56164384;25.95890411;2.157534247;22.60273973;1.47260274;24.69178082;57.26027397;30.71917808;7.808219178;1.404109589;26.91780822;230.8561644
05.04.2022;glasshouse;GH_BF;An;As;1;feuille;230109_IH_GLS_sample_1-25;4.091778203;20.61185468;23.4416826;3.556405354;17.97323136;2.141491396;36.02294455;67.60994264;16.32887189;5.774378585;3.135755258;18.58508604;219.2734226
05.04.2022;glasshouse;GH_BF;An;As;1;feuille;230109_IH_GLS_sample_1-26;4.177777778;40.97777778;45.21481481;6.133333333;36.11851852;2.37037037;95.76296296;116.9777778;25.77777778;7.525925926;2.844444444;24.32592593;408.2074074
05.04.2022;glasshouse;GH_BF;Fe;As;3;feuille;230109_IH_GLS_sample_1-27;2.354788069;28.22605965;14.94505495;4.458398744;17.14285714;2.040816327;60.37676609;64.36420722;20.87912088;6.248037677;1.507064364;19.27786499;241.8210361
05.04.2022;glasshouse;GH_BF;Fe;As;3;feuille;230109_IH_GLS_sample_1-28;6.524390244;35.97560976;28.41463415;3.87195122;29.63414634;2.37804878;54.9695122;59.54268293;33.17073171;7.225609756;1.737804878;26.49390244;289.9390244
05.04.2022;glasshouse;GH_BF;Fe;As;2;feuille;230109_IH_GLS_sample_1-29;6.931034483;62.44827586;55.06896552;7.689655172;47.79310345;3.034482759;124.4827586;144.6206897;31.89655172;12.03448276;2;22.48275862;520.4827586
05.04.2022;glasshouse;GH_BF;Fe;As;2;feuille;230109_IH_GLS_sample_1-30;2.63803681;52.85276074;27.7607362;8.558282209;38.77300613;3.404907975;141.8404908;103.6503067;28.98773006;8.834355828;5.18404908;18.34355828;440.8282209
05.04.2022;glasshouse;GH_BF;Ma;As;3;feuille;230109_IH_GLS_sample_1-31;4.127423823;27.2299169;23.93351801;4.182825485;22.79778393;2.576177285;46.4265928;54.48753463;20.55401662;5.041551247;1.329639889;24.65373961;237.3407202
05.04.2022;glasshouse;GH_BF;Ma;As;3;feuille;230109_IH_GLS_sample_1-32;2.248677249;26.69312169;17.46031746;3.121693122;17.03703704;1.613756614;29.20634921;77.93650794;20.71428571;3.80952381;1.428571429;17.85714286;219.1269841
05.04.2022;glasshouse;GH_BF;An;Mo;3;feuille;230109_IH_GLS_sample_1-33;1.626666667;9.573333333;9.76;1.173333333;7.573333333;0.88;13.14666667;18.96;7.093333333;4.56;0.746666667;9.413333333;84.50666667
05.04.2022;glasshouse;GH_BF;An;Mo;3;feuille;230109_IH_GLS_sample_1-34;10.18789144;34.57202505;39.20668058;3.173277662;40.70981211;2.045929019;47.76617954;111.3987474;44.75991649;13.3611691;4.926931106;26.47181628;378.5803758
05.04.2022;glasshouse;GH_BF;Fe;Mo;5;feuille;230109_IH_GLS_sample_1-35;2.721598002;29.93757803;13.70786517;4.194756554;20.54931336;1.622971286;30.98626717;63.84519351;19.37578027;8.214731586;5.118601748;24.71910112;224.9937578
05.04.2022;glasshouse;GH_BF;Fe;Mo;5;feuille;230109_IH_GLS_sample_1-36;17.81710914;29.67551622;34.80825959;2.536873156;37.61061947;2.979351032;28.52507375;40.17699115;44.92625369;6.371681416;1.681415929;21.71091445;268.820059
05.04.2022;glasshouse;GH_BF;Fe;Mo;4;feuille;230109_IH_GLS_sample_1-37;5.568760611;38.50594228;32.1901528;3.667232598;34.53310696;1.460101868;64.1426146;41.62988115;16.46859083;5.05942275;1.935483871;17.41935484;262.5806452
05.04.2022;glasshouse;GH_BF;Fe;Mo;4;feuille;230109_IH_GLS_sample_1-38;8.720770289;73.56258597;77.49656121;7.235213205;73.37001376;1.568088033;150.1513067;96.61623109;36.36863824;9.821182944;1.650618982;24.45667125;561.0178817
05.04.2022;glasshouse;GH_BF;Ma;Mo;5;feuille;230109_IH_GLS_sample_1-39;5.613577023;38.2767624;65.48302872;3.394255875;53.42036554;1.984334204;65.48302872;66.24020888;16.65796345;7.154046997;3.342036554;22.89817232;349.9477807
05.04.2022;glasshouse;GH_BF;Ma;Mo;5;feuille;230109_IH_GLS_sample_1-40;10.78125;21.5625;55.49479167;2.447916667;31.171875;4.036458333;31.5625;74.375;16.90104167;6.822916667;2.760416667;22.00520833;279.921875
05.04.2022;glasshouse;GH_BF;Ma;Mo;4;feuille;230109_IH_GLS_sample_1-41;7.503201024;37.56722151;41.22919334;3.969270166;39.10371319;3.815620999;57.84891165;56.28681178;23.91805378;4.686299616;2.227912932;22.48399488;300.6402049
