"","date_full","date","hour","sonde","value","variety","culture","bac","modality"
"44",2022-03-29 17:45:00,2022-03-29,1899-12-31 17:45:00,"T_1",24.328928,"Ext",NA,NA,"Ext"
"45",2022-03-29 18:00:00,2022-03-29,1899-12-31 18:00:00,"T_1",24.348916,"Ext",NA,NA,"Ext"
"46",2022-03-29 18:15:00,2022-03-29,1899-12-31 18:15:00,"T_1",24.418874,"Ext",NA,NA,"Ext"
"47",2022-03-29 18:30:00,2022-03-29,1899-12-31 18:30:00,"T_1",23.879198,"Ext",NA,NA,"Ext"
"48",2022-03-29 18:45:00,2022-03-29,1899-12-31 18:45:00,"T_1",24.139042,"Ext",NA,NA,"Ext"
"49",2022-03-29 19:00:00,2022-03-29,1899-12-31 19:00:00,"T_1",24.149036,"Ext",NA,NA,"Ext"
"50",2022-03-29 19:15:00,2022-03-29,1899-12-31 19:15:00,"T_1",23.769264,"Ext",NA,NA,"Ext"
"51",2022-03-29 19:30:00,2022-03-29,1899-12-31 19:30:00,"T_1",22.370104,"Ext",NA,NA,"Ext"
"52",2022-03-29 19:45:00,2022-03-29,1899-12-31 19:45:00,"T_1",21.240782,"Ext",NA,NA,"Ext"
"53",2022-03-29 20:00:00,2022-03-29,1899-12-31 20:00:00,"T_1",20.501226,"Ext",NA,NA,"Ext"
"54",2022-03-29 20:15:00,2022-03-29,1899-12-31 20:15:00,"T_1",19.86161,"Ext",NA,NA,"Ext"
"55",2022-03-29 20:30:00,2022-03-29,1899-12-31 20:30:00,"T_1",19.621754,"Ext",NA,NA,"Ext"
"56",2022-03-29 20:45:00,2022-03-29,1899-12-31 20:45:00,"T_1",18.91218,"Ext",NA,NA,"Ext"
"57",2022-03-29 21:00:00,2022-03-29,1899-12-31 21:00:00,"T_1",18.572384,"Ext",NA,NA,"Ext"
"58",2022-03-29 21:15:00,2022-03-29,1899-12-31 21:15:00,"T_1",18.192612,"Ext",NA,NA,"Ext"
"59",2022-03-29 21:30:00,2022-03-29,1899-12-31 21:30:00,"T_1",17.423074,"Ext",NA,NA,"Ext"
"60",2022-03-29 21:45:00,2022-03-29,1899-12-31 21:45:00,"T_1",17.183218,"Ext",NA,NA,"Ext"
"61",2022-03-29 22:00:00,2022-03-29,1899-12-31 22:00:00,"T_1",17.243182,"Ext",NA,NA,"Ext"
"62",2022-03-29 22:15:00,2022-03-29,1899-12-31 22:15:00,"T_1",16.773464,"Ext",NA,NA,"Ext"
"63",2022-03-29 22:30:00,2022-03-29,1899-12-31 22:30:00,"T_1",15.903986,"Ext",NA,NA,"Ext"
"64",2022-03-29 22:45:00,2022-03-29,1899-12-31 22:45:00,"T_1",15.983938,"Ext",NA,NA,"Ext"
"65",2022-03-29 23:00:00,2022-03-29,1899-12-31 23:00:00,"T_1",15.86401,"Ext",NA,NA,"Ext"
"66",2022-03-29 23:15:00,2022-03-29,1899-12-31 23:15:00,"T_1",15.973944,"Ext",NA,NA,"Ext"
"67",2022-03-29 23:30:00,2022-03-29,1899-12-31 23:30:00,"T_1",16.033908,"Ext",NA,NA,"Ext"
"68",2022-03-29 23:45:00,2022-03-29,1899-12-31 23:45:00,"T_1",15.794052,"Ext",NA,NA,"Ext"
"69",2022-03-29,2022-03-29,1899-12-31,"T_1",14.854616,"Ext",NA,NA,"Ext"
"70",2022-03-30 00:15:00,2022-03-30,1899-12-31 00:15:00,"T_1",14.524814,"Ext",NA,NA,"Ext"
"71",2022-03-30 00:30:00,2022-03-30,1899-12-31 00:30:00,"T_1",14.274964,"Ext",NA,NA,"Ext"
"72",2022-03-30 00:45:00,2022-03-30,1899-12-31 00:45:00,"T_1",14.694712,"Ext",NA,NA,"Ext"
"73",2022-03-30 01:00:00,2022-03-30,1899-12-31 01:00:00,"T_1",14.7147,"Ext",NA,NA,"Ext"
"74",2022-03-30 01:15:00,2022-03-30,1899-12-31 01:15:00,"T_1",14.874604,"Ext",NA,NA,"Ext"
"75",2022-03-30 01:30:00,2022-03-30,1899-12-31 01:30:00,"T_1",14.954556,"Ext",NA,NA,"Ext"
"76",2022-03-30 01:45:00,2022-03-30,1899-12-31 01:45:00,"T_1",14.784658,"Ext",NA,NA,"Ext"
"77",2022-03-30 02:00:00,2022-03-30,1899-12-31 02:00:00,"T_1",14.874604,"Ext",NA,NA,"Ext"
"78",2022-03-30 02:15:00,2022-03-30,1899-12-31 02:15:00,"T_1",14.744682,"Ext",NA,NA,"Ext"
"79",2022-03-30 02:30:00,2022-03-30,1899-12-31 02:30:00,"T_1",14.804646,"Ext",NA,NA,"Ext"
"80",2022-03-30 02:45:00,2022-03-30,1899-12-31 02:45:00,"T_1",14.794652,"Ext",NA,NA,"Ext"
"81",2022-03-30 03:00:00,2022-03-30,1899-12-31 03:00:00,"T_1",14.324934,"Ext",NA,NA,"Ext"
"82",2022-03-30 03:15:00,2022-03-30,1899-12-31 03:15:00,"T_1",14.954556,"Ext",NA,NA,"Ext"
"83",2022-03-30 03:30:00,2022-03-30,1899-12-31 03:30:00,"T_1",14.734688,"Ext",NA,NA,"Ext"
"84",2022-03-30 03:45:00,2022-03-30,1899-12-31 03:45:00,"T_1",14.135048,"Ext",NA,NA,"Ext"
"85",2022-03-30 04:00:00,2022-03-30,1899-12-31 04:00:00,"T_1",14.634748,"Ext",NA,NA,"Ext"
"86",2022-03-30 04:15:00,2022-03-30,1899-12-31 04:15:00,"T_1",15.11446,"Ext",NA,NA,"Ext"
"87",2022-03-30 04:30:00,2022-03-30,1899-12-31 04:30:00,"T_1",15.574184,"Ext",NA,NA,"Ext"
"88",2022-03-30 04:45:00,2022-03-30,1899-12-31 04:45:00,"T_1",15.96395,"Ext",NA,NA,"Ext"
"89",2022-03-30 05:00:00,2022-03-30,1899-12-31 05:00:00,"T_1",15.654136,"Ext",NA,NA,"Ext"
"90",2022-03-30 05:15:00,2022-03-30,1899-12-31 05:15:00,"T_1",15.923974,"Ext",NA,NA,"Ext"
"91",2022-03-30 05:30:00,2022-03-30,1899-12-31 05:30:00,"T_1",15.51422,"Ext",NA,NA,"Ext"
"92",2022-03-30 05:45:00,2022-03-30,1899-12-31 05:45:00,"T_1",15.354316,"Ext",NA,NA,"Ext"
"93",2022-03-30 06:00:00,2022-03-30,1899-12-31 06:00:00,"T_1",14.624754,"Ext",NA,NA,"Ext"
"94",2022-03-30 06:15:00,2022-03-30,1899-12-31 06:15:00,"T_1",15.184418,"Ext",NA,NA,"Ext"
"95",2022-03-30 06:30:00,2022-03-30,1899-12-31 06:30:00,"T_1",14.984538,"Ext",NA,NA,"Ext"
"96",2022-03-30 06:45:00,2022-03-30,1899-12-31 06:45:00,"T_1",15.734088,"Ext",NA,NA,"Ext"
"97",2022-03-30 07:00:00,2022-03-30,1899-12-31 07:00:00,"T_1",15.424274,"Ext",NA,NA,"Ext"
"98",2022-03-30 07:15:00,2022-03-30,1899-12-31 07:15:00,"T_1",14.584778,"Ext",NA,NA,"Ext"
"99",2022-03-30 07:30:00,2022-03-30,1899-12-31 07:30:00,"T_1",14.584778,"Ext",NA,NA,"Ext"
"100",2022-03-30 07:45:00,2022-03-30,1899-12-31 07:45:00,"T_1",14.934568,"Ext",NA,NA,"Ext"
"101",2022-03-30 08:00:00,2022-03-30,1899-12-31 08:00:00,"T_1",14.86461,"Ext",NA,NA,"Ext"
"102",2022-03-30 08:15:00,2022-03-30,1899-12-31 08:15:00,"T_1",15.044502,"Ext",NA,NA,"Ext"
"103",2022-03-30 08:30:00,2022-03-30,1899-12-31 08:30:00,"T_1",14.804646,"Ext",NA,NA,"Ext"
"104",2022-03-30 08:45:00,2022-03-30,1899-12-31 08:45:00,"T_1",15.953956,"Ext",NA,NA,"Ext"
"105",2022-03-30 09:00:00,2022-03-30,1899-12-31 09:00:00,"T_1",16.883398,"Ext",NA,NA,"Ext"
"106",2022-03-30 09:15:00,2022-03-30,1899-12-31 09:15:00,"T_1",16.823434,"Ext",NA,NA,"Ext"
"107",2022-03-30 09:30:00,2022-03-30,1899-12-31 09:30:00,"T_1",16.993332,"Ext",NA,NA,"Ext"
"108",2022-03-30 09:45:00,2022-03-30,1899-12-31 09:45:00,"T_1",17.443062,"Ext",NA,NA,"Ext"
"109",2022-03-30 10:00:00,2022-03-30,1899-12-31 10:00:00,"T_1",17.972744,"Ext",NA,NA,"Ext"
"110",2022-03-30 10:15:00,2022-03-30,1899-12-31 10:15:00,"T_1",18.472444,"Ext",NA,NA,"Ext"
"111",2022-03-30 10:30:00,2022-03-30,1899-12-31 10:30:00,"T_1",18.672324,"Ext",NA,NA,"Ext"
"112",2022-03-30 10:45:00,2022-03-30,1899-12-31 10:45:00,"T_1",18.722294,"Ext",NA,NA,"Ext"
"113",2022-03-30 11:00:00,2022-03-30,1899-12-31 11:00:00,"T_1",18.572384,"Ext",NA,NA,"Ext"
"114",2022-03-30 11:15:00,2022-03-30,1899-12-31 11:15:00,"T_1",19.16203,"Ext",NA,NA,"Ext"
"115",2022-03-30 11:30:00,2022-03-30,1899-12-31 11:30:00,"T_1",20.181418,"Ext",NA,NA,"Ext"
