date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;1;4;asso;12;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;asso;13;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;asso;14;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;asso;15;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;1;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;2;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;3;13;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;4;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;5;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;6;14;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;7;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;8;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;9;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;10;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;11;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;12;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;13;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;14;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;mono;15;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;1;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;2;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;3;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;4;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;5;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;6;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;7;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;8;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;9;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;10;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;11;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;12;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;13;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;14;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;mono;15;13;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;1;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;2;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;3;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;4;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;5;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;6;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;7;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;8;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;mono;9;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
