"","date_full","day","hour","sonde","value","variety","culture","rep"
"1","07.11.2023 13:00","07.11.2023 00:00","13:00:00","T_1",19.941562,"2","mono","4"
"2","07.11.2023 13:15","07.11.2023 00:00","13:15:00","T_1",20.051496,"2","mono","4"
"3","07.11.2023 13:30","07.11.2023 00:00","13:30:00","T_1",19.991532,"2","mono","4"
"4","07.11.2023 13:45","07.11.2023 00:00","13:45:00","T_1",19.891592,"2","mono","4"
"5","07.11.2023 14:00","07.11.2023 00:00","14:00:00","T_1",19.781658,"2","mono","4"
"6","07.11.2023 14:15","07.11.2023 00:00","14:15:00","T_1",19.701706,"2","mono","4"
"7","07.11.2023 14:30","07.11.2023 00:00","14:30:00","T_1",19.641742,"2","mono","4"
"8","07.11.2023 14:45","07.11.2023 00:00","14:45:00","T_1",19.61176,"2","mono","4"
"9","07.11.2023 15:00","07.11.2023 00:00","15:00:00","T_1",19.651736,"2","mono","4"
"10","07.11.2023 15:15","07.11.2023 00:00","15:15:00","T_1",19.671724,"2","mono","4"
"11","07.11.2023 15:30","07.11.2023 00:00","15:30:00","T_1",19.791652,"2","mono","4"
"12","07.11.2023 15:45","07.11.2023 00:00","15:45:00","T_1",19.7117,"2","mono","4"
"13","07.11.2023 16:00","07.11.2023 00:00","16:00:00","T_1",19.7117,"2","mono","4"
"14","07.11.2023 16:15","07.11.2023 00:00","16:15:00","T_1",19.701706,"2","mono","4"
"15","07.11.2023 16:30","07.11.2023 00:00","16:30:00","T_1",19.7117,"2","mono","4"
"16","07.11.2023 16:45","07.11.2023 00:00","16:45:00","T_1",19.691712,"2","mono","4"
"17","07.11.2023 17:00","07.11.2023 00:00","17:00:00","T_1",19.681718,"2","mono","4"
"18","07.11.2023 17:15","07.11.2023 00:00","17:15:00","T_1",19.641742,"2","mono","4"
"19","07.11.2023 17:30","07.11.2023 00:00","17:30:00","T_1",19.771664,"2","mono","4"
"20","07.11.2023 17:45","07.11.2023 00:00","17:45:00","T_1",19.921574,"2","mono","4"
"21","07.11.2023 18:00","07.11.2023 00:00","18:00:00","T_1",20.06149,"2","mono","4"
"22","07.11.2023 18:15","07.11.2023 00:00","18:15:00","T_1",20.121454,"2","mono","4"
"23","07.11.2023 18:30","07.11.2023 00:00","18:30:00","T_1",19.951556,"2","mono","4"
"24","07.11.2023 18:45","07.11.2023 00:00","18:45:00","T_1",20.2114,"2","mono","4"
"25","07.11.2023 19:00","07.11.2023 00:00","19:00:00","T_1",20.16143,"2","mono","4"
"26","07.11.2023 19:15","07.11.2023 00:00","19:15:00","T_1",19.891592,"2","mono","4"
"27","07.11.2023 19:30","07.11.2023 00:00","19:30:00","T_1",19.7117,"2","mono","4"
"28","07.11.2023 19:45","07.11.2023 00:00","19:45:00","T_1",19.501826,"2","mono","4"
"29","07.11.2023 20:00","07.11.2023 00:00","20:00:00","T_1",19.251976,"2","mono","4"
"30","07.11.2023 20:15","07.11.2023 00:00","20:15:00","T_1",19.032108,"2","mono","4"
"31","07.11.2023 20:30","07.11.2023 00:00","20:30:00","T_1",18.972144,"2","mono","4"
"32","07.11.2023 20:45","07.11.2023 00:00","20:45:00","T_1",18.882198,"2","mono","4"
"33","07.11.2023 21:00","07.11.2023 00:00","21:00:00","T_1",18.782258,"2","mono","4"
"34","07.11.2023 21:15","07.11.2023 00:00","21:15:00","T_1",18.672324,"2","mono","4"
"35","07.11.2023 21:30","07.11.2023 00:00","21:30:00","T_1",18.56239,"2","mono","4"
"36","07.11.2023 21:45","07.11.2023 00:00","21:45:00","T_1",18.46245,"2","mono","4"
"37","07.11.2023 22:00","07.11.2023 00:00","22:00:00","T_1",18.402486,"2","mono","4"
"38","07.11.2023 22:15","07.11.2023 00:00","22:15:00","T_1",18.322534,"2","mono","4"
"39","07.11.2023 22:30","07.11.2023 00:00","22:30:00","T_1",18.252576,"2","mono","4"
"40","07.11.2023 22:45","07.11.2023 00:00","22:45:00","T_1",18.192612,"2","mono","4"
"41","07.11.2023 23:00","07.11.2023 00:00","23:00:00","T_1",18.172624,"2","mono","4"
"42","07.11.2023 23:15","07.11.2023 00:00","23:15:00","T_1",18.182618,"2","mono","4"
"43","07.11.2023 23:30","07.11.2023 00:00","23:30:00","T_1",18.152636,"2","mono","4"
"44","07.11.2023 23:45","07.11.2023 00:00","23:45:00","T_1",18.122654,"2","mono","4"
"45","08.11.2023 00:00","08.11.2023 00:00","00:00:00","T_1",18.082678,"2","mono","4"
"46","08.11.2023 00:15","08.11.2023 00:00","00:15:00","T_1",18.042702,"2","mono","4"
"47","08.11.2023 00:30","08.11.2023 00:00","00:30:00","T_1",18.032708,"2","mono","4"
"48","08.11.2023 00:45","08.11.2023 00:00","00:45:00","T_1",18.01272,"2","mono","4"
"49","08.11.2023 01:00","08.11.2023 00:00","01:00:00","T_1",17.972744,"2","mono","4"
"50","08.11.2023 01:15","08.11.2023 00:00","01:15:00","T_1",17.942762,"2","mono","4"
"51","08.11.2023 01:30","08.11.2023 00:00","01:30:00","T_1",17.942762,"2","mono","4"
"52","08.11.2023 01:45","08.11.2023 00:00","01:45:00","T_1",18.06269,"2","mono","4"
"53","08.11.2023 02:00","08.11.2023 00:00","02:00:00","T_1",18.102666,"2","mono","4"
"54","08.11.2023 02:15","08.11.2023 00:00","02:15:00","T_1",18.132648,"2","mono","4"
"55","08.11.2023 02:30","08.11.2023 00:00","02:30:00","T_1",18.16263,"2","mono","4"
"56","08.11.2023 02:45","08.11.2023 00:00","02:45:00","T_1",18.192612,"2","mono","4"
"57","08.11.2023 03:00","08.11.2023 00:00","03:00:00","T_1",18.222594,"2","mono","4"
"58","08.11.2023 03:15","08.11.2023 00:00","03:15:00","T_1",18.202606,"2","mono","4"
"59","08.11.2023 03:30","08.11.2023 00:00","03:30:00","T_1",18.182618,"2","mono","4"
"60","08.11.2023 03:45","08.11.2023 00:00","03:45:00","T_1",18.172624,"2","mono","4"
"61","08.11.2023 04:00","08.11.2023 00:00","04:00:00","T_1",18.272564,"2","mono","4"
"62","08.11.2023 04:15","08.11.2023 00:00","04:15:00","T_1",18.292552,"2","mono","4"
"63","08.11.2023 04:30","08.11.2023 00:00","04:30:00","T_1",18.282558,"2","mono","4"
"64","08.11.2023 04:45","08.11.2023 00:00","04:45:00","T_1",18.252576,"2","mono","4"
"65","08.11.2023 05:00","08.11.2023 00:00","05:00:00","T_1",18.252576,"2","mono","4"
"66","08.11.2023 05:15","08.11.2023 00:00","05:15:00","T_1",18.252576,"2","mono","4"
"67","08.11.2023 05:30","08.11.2023 00:00","05:30:00","T_1",18.252576,"2","mono","4"
"68","08.11.2023 05:45","08.11.2023 00:00","05:45:00","T_1",18.252576,"2","mono","4"
"69","08.11.2023 06:00","08.11.2023 00:00","06:00:00","T_1",18.242582,"2","mono","4"
"70","08.11.2023 06:15","08.11.2023 00:00","06:15:00","T_1",18.252576,"2","mono","4"
"71","08.11.2023 06:30","08.11.2023 00:00","06:30:00","T_1",18.252576,"2","mono","4"
"72","08.11.2023 06:45","08.11.2023 00:00","06:45:00","T_1",18.26257,"2","mono","4"
"73","08.11.2023 07:00","08.11.2023 00:00","07:00:00","T_1",18.26257,"2","mono","4"
"74","08.11.2023 07:15","08.11.2023 00:00","07:15:00","T_1",18.26257,"2","mono","4"
"75","08.11.2023 07:30","08.11.2023 00:00","07:30:00","T_1",18.252576,"2","mono","4"
"76","08.11.2023 07:45","08.11.2023 00:00","07:45:00","T_1",18.232588,"2","mono","4"
"77","08.11.2023 08:00","08.11.2023 00:00","08:00:00","T_1",18.222594,"2","mono","4"
"78","08.11.2023 08:15","08.11.2023 00:00","08:15:00","T_1",18.16263,"2","mono","4"
"79","08.11.2023 08:30","08.11.2023 00:00","08:30:00","T_1",18.202606,"2","mono","4"
"80","08.11.2023 08:45","08.11.2023 00:00","08:45:00","T_1",18.222594,"2","mono","4"
"81","08.11.2023 09:00","08.11.2023 00:00","09:00:00","T_1",19.142042,"2","mono","4"
"82","08.11.2023 09:15","08.11.2023 00:00","09:15:00","T_1",20.231388,"2","mono","4"
"83","08.11.2023 09:30","08.11.2023 00:00","09:30:00","T_1",22.030308,"2","mono","4"
"84","08.11.2023 09:45","08.11.2023 00:00","09:45:00","T_1",21.380698,"2","mono","4"
"85","08.11.2023 10:00","08.11.2023 00:00","10:00:00","T_1",24.328928,"2","mono","4"
"86","08.11.2023 10:15","08.11.2023 00:00","10:15:00","T_1",25.018514,"2","mono","4"
"87","08.11.2023 10:30","08.11.2023 00:00","10:30:00","T_1",22.90978,"2","mono","4"
"88","08.11.2023 10:45","08.11.2023 00:00","10:45:00","T_1",22.629948,"2","mono","4"
"89","08.11.2023 11:00","08.11.2023 00:00","11:00:00","T_1",22.500026,"2","mono","4"
"90","08.11.2023 11:15","08.11.2023 00:00","11:15:00","T_1",22.330128,"2","mono","4"
"91","08.11.2023 11:30","08.11.2023 00:00","11:30:00","T_1",22.36011,"2","mono","4"
"92","08.11.2023 11:45","08.11.2023 00:00","11:45:00","T_1",22.41008,"2","mono","4"
"93","08.11.2023 12:00","08.11.2023 00:00","12:00:00","T_1",22.41008,"2","mono","4"
"94","08.11.2023 12:15","08.11.2023 00:00","12:15:00","T_1",22.520014,"2","mono","4"
"95","08.11.2023 12:30","08.11.2023 00:00","12:30:00","T_1",22.470044,"2","mono","4"
"96","08.11.2023 12:45","08.11.2023 00:00","12:45:00","T_1",22.330128,"2","mono","4"
"97","08.11.2023 13:00","08.11.2023 00:00","13:00:00","T_1",22.370104,"2","mono","4"
"98","08.11.2023 13:15","08.11.2023 00:00","13:15:00","T_1",22.380098,"2","mono","4"
"99","08.11.2023 13:30","08.11.2023 00:00","13:30:00","T_1",22.170224,"2","mono","4"
"100","08.11.2023 13:45","08.11.2023 00:00","13:45:00","T_1",22.090272,"2","mono","4"
"101","08.11.2023 14:00","08.11.2023 00:00","14:00:00","T_1",21.940362,"2","mono","4"
"102","08.11.2023 14:15","08.11.2023 00:00","14:15:00","T_1",21.840422,"2","mono","4"
"103","08.11.2023 14:30","08.11.2023 00:00","14:30:00","T_1",21.66053,"2","mono","4"
"104","08.11.2023 14:45","08.11.2023 00:00","14:45:00","T_1",21.590572,"2","mono","4"
"105","08.11.2023 15:00","08.11.2023 00:00","15:00:00","T_1",21.520614,"2","mono","4"
"106","08.11.2023 15:15","08.11.2023 00:00","15:15:00","T_1",21.370704,"2","mono","4"
"107","08.11.2023 15:30","08.11.2023 00:00","15:30:00","T_1",21.240782,"2","mono","4"
"108","08.11.2023 15:45","08.11.2023 00:00","15:45:00","T_1",21.2108,"2","mono","4"
"109","08.11.2023 16:00","08.11.2023 00:00","16:00:00","T_1",20.990932,"2","mono","4"
"110","08.11.2023 16:15","08.11.2023 00:00","16:15:00","T_1",20.900986,"2","mono","4"
